,year,CG_max,CG_min,CG_mean,CG_median,CG_var,IP_outs_max,IP_outs_min,IP_outs_mean,IP_outs_median,IP_outs_var,batters_faced_max,batters_faced_min,batters_faced_mean,batters_faced_median,Opp_BA_max,Opp_BA_min,Opp_BA_mean,Opp_BA_median,BB_max,BB_min,BB_mean,BB_median,BB_var,SO_max,SO_min,SO_mean,SO_median,SO_var,ERA_max,ERA_min,ERA_mean,ERA_median
24,1895,47,0,11.191304347826087,5.0,153.48939740655987,1333,0,360.18260869565216,188.0,133714.06285278415,1936.0,4.0,544.6434782608695,314.0,,,,,182,0.0,44.52173913043478,31.0,1685.9710144927535,201,0,31.504347826086956,18.0,1378.7784897025172,27.0,0.0,,
25,1896,44,0,11.456140350877194,5.0,165.34761682968482,1297,0,362.1578947368421,190.5,142996.98369818353,1850.0,1.0,536.2982456140351,308.5,,,,,166,0.0,42.578947368421055,29.0,1851.0777829529577,140,0,30.903508771929825,14.5,1317.0260052786834,36.0,0.0,,4.875
26,1897,38,0,13.223300970873787,9.0,159.97905958499905,1104,2,407.88349514563106,285.0,127036.90786217399,1612.0,2.0,603.9902912621359,433.0,,,,,168,0.0,45.9126213592233,33.0,1662.296211688559,156,0,36.25242718446602,20.0,1499.2689891490577,18.9,0.0,5.571359223300971,4.63
27,1898,42,0,13.870689655172415,7.0,187.12226386806597,1192,3,412.62068965517244,265.5,148034.41139430285,1713.0,8.0,592.2931034482758,412.0,,,,,213,1.0,43.89655172413793,29.0,1758.0761619190405,239,0,36.61206896551724,19.0,1789.5612443778111,18.0,0.45,4.689310344827586,3.715
28,1899,40,0,12.253846153846155,6.5,163.19862850327968,1137,0,366.65384615384613,211.0,130993.09630292188,1654.0,2.0,529.3538461538461,315.0,,,,,170,1.0,38.3,24.5,1400.5837209302326,145,0,29.746153846153845,12.5,1247.7722719141325,18.0,0.0,,4.55
29,1900,34,0,12.972222222222221,10.0,138.47809076682316,1029,8,413.0833333333333,340.0,121864.6690140845,1493.0,12.0,593.375,516.0,,,,,113,0.0,42.138888888888886,36.5,1186.1494522691705,132,0,37.458333333333336,26.5,1303.519366197183,21.0,0.0,4.575972222222222,3.885
30,1901,41,0,12.50326797385621,6.0,157.30426556587548,1146,0,383.19607843137254,230.0,132483.48761609907,1631.0,3.0,545.7908496732026,341.0,,,,,152,0.0,35.71895424836601,30.0,1133.7165462676298,239,0,45.60130718954248,23.0,2839.254471964224,27.0,0.0,,4.63
31,1902,45,0,10.449197860962567,4.0,134.53907193375883,1230,3,316.4652406417112,130.0,112422.13184980737,1652.0,3.0,441.49732620320856,188.0,,,,,128,0.0,29.101604278074866,16.0,873.7691909608418,225,0,35.593582887700535,13.0,2128.9737220401357,18.0,0.0,4.034652406417112,3.46
32,1903,44,0,12.316129032258065,8.0,144.38642647674905,1302,6,380.18709677419355,258.0,120554.19204021785,1786.0,10.0,526.6709677419354,375.0,,,,,143,0.0,35.12903225806452,26.0,1009.9832425638878,302,0,51.39354838709677,29.0,3125.694763301215,12.46,0.0,3.8563225806451613,3.36
33,1904,48,0,15.726618705035971,13.0,178.997184860807,1364,2,474.7913669064748,413.0,141296.07934521948,1720.0,6.0,644.0287769784172,566.0,,,,,144,0.0,41.30935251798561,37.0,1044.7079553748306,349,0,66.92805755395683,54.0,3836.386091127098,40.5,0.0,3.7014388489208634,2.85
34,1905,41,0,13.534246575342467,12.5,138.22295701464336,1134,1,451.6575342465753,433.5,126745.04052905054,1475.0,5.0,609.2876712328767,598.0,,,,,149,0.0,42.95890410958904,37.0,1281.3362305148796,287,0,65.54109589041096,53.0,3592.3879546528105,81.0,0.0,4.078972602739726,2.9800000000000004
35,1906,37,0,11.575757575757576,7.0,123.87989652623799,1075,3,394.6545454545454,357.0,115283.38603104213,1416.0,3.0,530.5515151515151,474.0,,,,,127,0.0,37.92727272727273,32.0,1052.5556541019955,196,0,55.13939393939394,38.0,2673.2914264597193,18.0,0.0,3.4690909090909092,2.91
36,1907,37,0,10.566473988439306,6.0,107.84003226240085,1267,1,378.4393063583815,272.0,111873.2361204463,1622.0,1.0,505.7456647398844,364.0,,,,,112,0.0,36.48554913294798,29.0,980.5651969350719,232,0,50.26589595375722,34.0,2482.4405161984137,15.43,0.0,3.3779190751445087,2.67
37,1908,42,0,9.163934426229508,6.0,94.19275806161052,1392,1,365.73770491803276,265.0,112205.65609800036,1755.0,1.0,483.90710382513663,350.0,,,,,125,0.0,33.43715846994535,22.0,889.4781721011229,269,0,49.78142076502732,31.0,2888.2486639044014,135.0,0.0,4.193333333333333,2.57
38,1909,37,0,7.49537037037037,4.0,72.78137381567615,1095,3,308.5138888888889,198.0,86444.3253875969,1376.0,3.0,410.1388888888889,271.5,,,,,108,0.0,30.84722222222222,20.0,831.9067829457364,205,0,43.31018518518518,23.5,2267.359151593454,36.0,0.0,3.4700462962962964,2.705
