yearID,count,mean,std,min,25%,50%,75%,max
1871,19.0,12.157894736842104,12.715970526575962,0.0,0.5,2.0,23.5,31.0
1872,24.0,13.625,16.447049424824158,0.0,1.75,8.0,14.75,53.0
1873,25.0,14.48,19.237809993170565,0.0,1.0,2.0,32.0,51.0
1874,17.0,25.823529411764707,26.010179002934713,0.0,1.0,17.0,55.0,65.0
1875,47.0,13.212765957446809,18.19213419395839,0.0,0.0,5.0,16.0,69.0
1876,34.0,13.882352941176471,20.173136511711377,0.0,0.0,1.5,22.75,66.0
1877,19.0,17.157894736842106,20.96362764910993,0.0,2.0,6.0,26.0,61.0
1878,22.0,16.0,20.01903855738094,0.0,1.0,7.5,31.5,57.0
1879,26.0,23.423076923076923,25.63462202088898,0.0,2.0,14.0,52.0,75.0
1880,33.0,18.424242424242426,23.771083146112506,0.0,0.0,9.0,22.0,72.0
1881,31.0,20.35483870967742,20.19001137047191,0.0,2.0,12.0,38.5,57.0
1882,74.0,14.594594594594595,18.092546651976416,0.0,1.0,4.0,29.75,65.0
1883,92.0,15.75,20.081496047767047,0.0,0.0,6.5,23.25,72.0
1884,236.0,12.224576271186441,17.386604951357914,0.0,1.0,3.0,17.25,73.0
1885,118.0,14.491525423728813,18.063395371691584,0.0,1.0,6.5,22.75,68.0
1886,141.0,14.212765957446809,19.00932421983572,0.0,0.0,4.0,22.0,66.0
1887,137.0,14.722627737226277,17.965133685512686,0.0,1.0,5.0,27.0,66.0
1888,121.0,17.371900826446282,17.685743896994627,0.0,2.0,10.0,31.0,64.0
1889,129.0,14.96124031007752,16.39426495606352,0.0,1.0,6.0,28.0,68.0
1890,211.0,13.649289099526067,15.145335191524898,0.0,1.0,8.0,22.5,65.0
1891,144.0,13.180555555555555,15.252950088507022,0.0,1.0,6.0,22.25,56.0
1892,110.0,14.754545454545454,16.615559395087377,0.0,1.0,6.5,24.75,67.0
1893,110.0,11.763636363636364,13.28855979848575,0.0,1.0,5.5,20.5,50.0
1894,130.0,9.992307692307692,12.378711504403142,0.0,0.25,4.0,16.75,46.0
1895,115.0,11.191304347826087,12.389083800126622,0.0,1.0,5.0,18.5,47.0
1896,114.0,11.456140350877194,12.8587564262523,0.0,1.0,5.0,19.0,44.0
1897,103.0,13.223300970873787,12.648282871006604,0.0,2.0,9.0,23.5,38.0
1898,116.0,13.870689655172415,13.679264010467302,0.0,2.0,7.0,26.25,42.0
1899,130.0,12.253846153846155,12.774921858989183,0.0,2.0,6.5,22.0,40.0
1900,72.0,12.972222222222221,11.76767142500262,0.0,1.0,10.0,24.25,34.0
1901,153.0,12.50326797385621,12.54209972715396,0.0,1.0,6.0,25.0,41.0
1902,187.0,10.449197860962567,11.59909789310181,0.0,1.0,4.0,19.0,45.0
1903,155.0,12.316129032258065,12.016090315770311,0.0,2.0,8.0,24.0,44.0
1904,139.0,15.726618705035971,13.378982953154809,0.0,2.0,13.0,28.5,48.0
1905,146.0,13.534246575342467,11.756825975349102,0.0,2.0,12.5,24.0,41.0
1906,165.0,11.575757575757576,11.130134614021431,0.0,1.0,7.0,21.0,37.0
1907,173.0,10.566473988439306,10.384605541974182,0.0,1.0,6.0,20.0,37.0
1908,183.0,9.163934426229508,9.70529536189448,0.0,1.0,6.0,16.5,42.0
1909,216.0,7.49537037037037,8.531200022017778,0.0,1.0,4.0,13.0,37.0
1910,211.0,7.350710900473934,8.423902328766335,0.0,0.0,4.0,13.0,38.0
1911,227.0,6.3392070484581495,7.948640741279756,0.0,0.0,3.0,10.0,36.0
1912,252.0,5.678571428571429,8.307094909744269,0.0,0.0,1.0,9.0,35.0
1913,239.0,5.518828451882845,7.364366075728334,0.0,0.0,2.0,9.0,29.0
1914,283.0,7.303886925795053,8.407583904293567,0.0,0.0,4.0,12.5,34.0
1915,309.0,6.656957928802589,7.922030260168757,0.0,0.0,3.0,11.0,36.0
1916,198.0,6.636363636363637,7.7222791215783175,0.0,0.0,4.0,10.0,38.0
1917,179.0,7.720670391061453,8.708782058434428,0.0,0.0,5.0,13.0,35.0
1918,212.0,6.037735849056604,7.401068871571317,0.0,0.0,3.0,10.0,30.0
1919,225.0,5.786666666666667,7.44616392129915,0.0,0.0,2.0,9.0,30.0
1920,214.0,6.518691588785047,8.546318218246647,0.0,0.0,1.0,11.0,33.0
1921,211.0,6.033175355450237,7.823276555228009,0.0,0.0,2.0,11.0,32.0
1922,212.0,5.849056603773585,7.538580017433342,0.0,0.0,2.0,10.0,31.0
1923,214.0,5.719626168224299,7.7159604023100234,0.0,0.0,1.0,9.0,33.0
1924,228.0,5.254385964912281,6.901843466323671,0.0,0.0,2.0,9.0,30.0
1925,217.0,5.571428571428571,6.913869199051087,0.0,0.0,2.0,10.0,27.0
1926,208.0,5.552884615384615,6.5590658096866825,0.0,0.0,3.0,9.25,32.0
1927,225.0,5.3244444444444445,6.8031359482343685,0.0,0.0,2.0,10.0,30.0
1928,219.0,5.351598173515982,6.980946198005411,0.0,0.0,2.0,9.0,28.0
1929,214.0,5.462616822429907,6.763337001243671,0.0,0.0,2.0,9.0,28.0
1930,214.0,5.11214953271028,6.5946729146163445,0.0,0.0,2.0,8.75,29.0
1931,194.0,6.123711340206185,6.92933649704651,0.0,0.0,3.0,11.0,27.0
1932,211.0,5.331753554502369,6.694268070942638,0.0,0.0,2.0,9.0,28.0
1933,197.0,5.649746192893401,6.702433493230027,0.0,0.0,3.0,10.0,26.0
1934,218.0,4.86697247706422,6.469047965139528,0.0,0.0,2.0,8.0,25.0
1935,216.0,5.060185185185185,6.648733956277759,0.0,0.0,2.0,8.0,31.0
1936,226.0,4.756637168141593,6.509348847532988,0.0,0.0,2.0,8.0,28.0
1937,223.0,4.995515695067264,6.212090621563591,0.0,0.0,2.0,8.5,25.0
1938,228.0,4.780701754385965,6.121758366397745,0.0,0.0,2.0,9.0,31.0
1939,250.0,4.108,5.635545536500961,0.0,0.0,1.0,7.0,31.0
1940,232.0,4.719827586206897,6.563967228057328,0.0,0.0,1.0,7.0,31.0
1941,246.0,4.4105691056910565,6.081599051379129,0.0,0.0,1.0,7.0,30.0
